student_id,age,gender,parent_education,lunch,internet_access,extracurricular,siblings,test_prep_course,study_time_hrs,attendance_pct,math_score,reading_score,writing_score,total_score,average_score,grade,pass_fail
523,18,F,master's degree,free/reduced,yes,yes,3,none,3.0,74.0,62.0,70.0,67.0,199,66.3,B,PASS
850,18,female,high school,standard,yes,no,4,completed,3.0,87.0,78.0,74.0,70.0,222,74.0,A,PASS
545,16,Male,master's degree,free/reduced,yes,yes,1,none,2.0,85.0,69.0,57.0,81.0,207,69.0,B,pass
495,16,M,some college,free/reduced,no,yes,1,completed,3.0,68.0,71.0,60.0,73.0,204,68.0,B,PASS
378,16,MALE,bachelor's degree,standard,yes,yes,0,completed,4.0,99.0,79.0,90.0,100.0,269,89.7,A+,pass
717,15,Male,high school,free/reduced,yes,no,3,completed,1.0,67.0,52.0,54.0,50.0,156,52.0,C,pass
610,18,F,high school,free/reduced,no,no,2,none,3.0,75.0,57.0,63.0,65.0,185,61.7,B,Pass
941,16,female,master's degree,standard,yes,no,2,completed,4.0,81.0,100.0,96.0,90.0,286,95.3,O,Pass
674,16,Female,some college,free/reduced,yes,no,4,completed,3.0,61.0,71.0,74.0,81.0,226,75.3,A,PASS
65,18,male,some college,free/reduced,yes,no,3,completed,3.0,74.0,69.0,58.0,66.0,193,64.3,B,pass
133,16,M,associate's degree,free/reduced,no,no,0,completed,3.0,95.0,75.0,81.0,78.0,234,78.0,A,Pass
981,14,female,bachelor's degree,standard,yes,no,4,completed,1.0,86.0,72.0,71.0,72.0,215,71.7,A,PASS
482,18,Female,bachelor's degree,free/reduced,yes,yes,2,completed,4.0,69.0,56.0,72.0,77.0,205,68.3,B,pass
679,18,female,bachelor's degree,free/reduced,yes,no,2,none,2.0,65.0,50.0,68.0,57.0,175,58.3,C,Pass
82,14,Female,master's degree,standard,yes,yes,1,none,4.0,70.0,95.0,99.0,72.0,266,88.7,A+,PASS
260,14,m,bachelor's degree,standard,yes,no,0,completed,4.0,61.0,74.0,76.0,78.0,228,76.0,A,Pass
226,18,FEMALE,bachelor's degree,standard,no,yes,1,completed,5.0,91.0,96.0,97.0,100.0,293,97.7,O,pass
116,18,f,master's degree,free/reduced,no,yes,2,completed,1.0,94.0,73.0,76.0,81.0,230,76.7,A,Pass
173,16,Male,high school,free/reduced,no,yes,4,none,4.0,89.0,69.0,76.0,79.0,224,74.7,A,Pass
533,14,m,some college,standard,no,no,2,none,1.0,85.0,72.0,51.0,54.0,177,59.0,C,PASS
616,16,MALE,associate's degree,standard,no,no,4,none,2.0,81.0,69.0,73.0,75.0,217,72.3,A,pass
967,16,Male,master's degree,standard,yes,yes,1,none,1.0,78.0,79.0,73.0,81.0,233,77.7,A,Pass
870,16,F,some college,free/reduced,no,no,3,none,1.0,74.0,56.0,47.0,61.0,164,54.7,C,PASS
369,14,m,bachelor's degree,standard,yes,no,1,completed,3.0,80.0,92.0,91.0,77.0,260,86.7,A+,Pass
615,18,FEMALE,associate's degree,free/reduced,yes,no,4,completed,3.0,95.0,69.0,77.0,81.0,227,75.7,A,Pass
559,14,F,associate's degree,free/reduced,yes,yes,4,completed,5.0,88.0,97.0,92.0,93.0,282,94.0,O,pass
293,14,MALE,associate's degree,standard,no,yes,3,none,3.0,83.0,62.0,71.0,79.0,212,70.7,A,Pass
391,16,MALE,bachelor's degree,standard,yes,no,2,completed,4.0,63.0,96.0,88.0,71.0,255,85.0,A+,Pass
686,14,female,master's degree,free/reduced,yes,no,0,none,,70.0,,,,234,78.0,A,Pass
707,18,female,bachelor's degree,standard,yes,no,2,none,3.0,85.0,88.0,81.0,75.0,244,81.3,A+,pass
370,14,Male,master's degree,free/reduced,no,yes,3,completed,1.0,88.0,66.0,77.0,73.0,216,72.0,A,PASS
694,16,female,associate's degree,standard,yes,no,3,completed,4.0,71.0,75.0,92.0,85.0,252,84.0,A+,PASS
7,17,Male,master's degree,standard,yes,no,3,none,5.0,97.0,80.0,93.0,100.0,273,91.0,O,pass
601,14,male,high school,free/reduced,yes,yes,2,completed,3.0,61.0,70.0,80.0,62.0,212,70.7,A,pass
594,15,FEMALE,associate's degree,standard,no,yes,2,none,5.0,61.0,79.0,89.0,80.0,248,82.7,A+,Pass
678,15,Female,high school,standard,yes,no,1,none,4.0,93.0,89.0,80.0,71.0,240,80.0,A,pass
263,17,Male,some college,standard,yes,no,2,none,3.0,98.0,77.0,77.0,71.0,225,75.0,A,pass
41,18,Male,master's degree,free/reduced,yes,yes,1,none,2.0,77.0,61.0,73.0,87.0,221,73.7,A,Pass
220,18,M,bachelor's degree,standard,yes,no,2,completed,2.0,74.0,83.0,82.0,68.0,233,77.7,A,Pass
590,15,m,some college,standard,no,no,4,completed,1.0,80.0,73.0,73.0,67.0,213,71.0,A,PASS
959,14,Female,some college,standard,yes,yes,3,none,2.0,72.0,80.0,67.0,61.0,208,69.3,B,pass
18,14,Female,bachelor's degree,free/reduced,yes,no,2,none,2.0,77.0,70.0,58.0,65.0,193,64.3,B,Pass
951,16,MALE,associate's degree,standard,yes,yes,2,none,2.0,82.0,56.0,66.0,69.0,191,63.7,B,Pass
358,17,female,associate's degree,standard,yes,no,0,completed,3.0,97.0,82.0,89.0,73.0,244,81.3,A+,PASS
667,18,Female,bachelor's degree,standard,yes,no,0,none,2.0,93.0,80.0,67.0,70.0,217,72.3,A,PASS
697,14,MALE,master's degree,standard,yes,yes,4,none,1.0,81.0,69.0,61.0,78.0,208,69.3,B,Pass
626,18,FEMALE,associate's degree,free/reduced,yes,no,2,none,3.0,86.0,54.0,68.0,57.0,179,59.7,C,PASS
657,16,Male,high school,standard,no,no,0,none,3.0,69.0,62.0,54.0,63.0,179,59.7,C,PASS
120,16,,,free/reduced,,yes,3,completed,,,,,,186,62.0,B,PASS
929,17,f,associate's degree,standard,yes,no,0,none,1.0,83.0,76.0,73.0,64.0,213,71.0,A,PASS
687,17,F,bachelor's degree,free/reduced,yes,no,3,completed,1.0,95.0,82.0,83.0,70.0,235,78.3,A,PASS
466,18,Male,some college,standard,yes,yes,4,none,4.0,91.0,85.0,74.0,78.0,237,79.0,A,pass
398,15,FEMALE,master's degree,standard,yes,yes,0,completed,4.0,61.0,79.0,92.0,86.0,257,85.7,A+,pass
19,16,F,master's degree,standard,yes,yes,3,none,1.0,83.0,64.0,83.0,73.0,220,73.3,A,pass
33,18,F,master's degree,free/reduced,yes,no,1,completed,2.0,75.0,72.0,93.0,75.0,240,80.0,A,PASS
54,16,FEMALE,associate's degree,free/reduced,no,yes,4,none,3.0,68.0,58.0,80.0,64.0,202,67.3,B,PASS
225,14,FEMALE,associate's degree,free/reduced,yes,no,1,completed,2.0,99.0,66.0,69.0,67.0,202,67.3,B,pass
669,17,Male,high school,free/reduced,yes,no,0,none,2.0,81.0,47.0,49.0,54.0,150,50.0,D,pass
746,15,female,associate's degree,standard,yes,no,2,completed,5.0,92.0,98.0,93.0,100.0,291,97.0,O,PASS
988,14,Female,bachelor's degree,free/reduced,no,yes,3,completed,2.0,80.0,73.0,65.0,66.0,204,68.0,B,pass
374,14,f,some college,free/reduced,no,yes,2,completed,4.0,60.0,63.0,72.0,53.0,188,62.7,B,PASS
465,17,female,some college,standard,no,yes,1,none,1.0,75.0,65.0,66.0,71.0,202,67.3,B,pass
937,14,Female,some college,standard,yes,no,3,completed,2.0,89.0,76.0,72.0,82.0,230,76.7,A,Pass
79,16,m,associate's degree,standard,yes,yes,4,completed,4.0,62.0,84.0,62.0,76.0,222,74.0,A,pass
406,18,f,master's degree,standard,yes,yes,0,completed,3.0,79.0,88.0,88.0,97.0,273,91.0,O,Pass
716,15,f,some college,standard,yes,no,4,completed,4.0,69.0,73.0,81.0,90.0,244,81.3,A+,Pass
43,18,female,some college,standard,yes,no,2,none,1.0,84.0,57.0,67.0,65.0,189,63.0,B,Pass
16,18,MALE,high school,standard,yes,no,2,none,5.0,83.0,76.0,76.0,87.0,239,79.7,A,Pass
553,14,male,master's degree,standard,yes,yes,3,completed,4.0,60.0,85.0,85.0,87.0,257,85.7,A+,Pass
28,17,f,some college,standard,yes,no,3,none,4.0,88.0,81.0,82.0,94.0,257,85.7,A+,pass
548,16,F,high school,free/reduced,yes,no,4,completed,3.0,95.0,82.0,77.0,73.0,232,77.3,A,Pass
703,15,male,high school,standard,yes,yes,4,completed,1.0,82.0,56.0,57.0,55.0,168,56.0,C,PASS
503,14,MALE,master's degree,free/reduced,yes,yes,0,completed,4.0,80.0,92.0,94.0,84.0,270,90.0,A+,PASS
26,14,f,associate's degree,standard,yes,yes,1,completed,1.0,75.0,63.0,61.0,68.0,192,64.0,B,Pass
858,18,M,some college,standard,yes,no,0,completed,3.0,93.0,63.0,63.0,77.0,203,67.7,B,PASS
940,18,Female,bachelor's degree,standard,no,yes,3,none,2.0,62.0,62.0,71.0,73.0,206,68.7,B,pass
31,16,male,bachelor's degree,standard,yes,yes,3,none,2.0,78.0,84.0,70.0,66.0,220,73.3,A,Pass
428,15,F,associate's degree,standard,no,no,2,none,3.0,75.0,68.0,68.0,84.0,220,73.3,A,pass
721,16,FEMALE,master's degree,free/reduced,no,no,0,none,,,,,,232,77.3,A,pass
237,16,f,some college,standard,yes,no,3,none,3.0,66.0,75.0,64.0,58.0,197,65.7,B,Pass
462,14,Male,associate's degree,standard,yes,yes,0,completed,2.0,92.0,61.0,84.0,77.0,222,74.0,A,Pass
468,18,Male,some college,standard,yes,no,0,none,1.0,86.0,56.0,55.0,65.0,176,58.7,C,PASS
876,18,M,master's degree,standard,no,yes,4,none,3.0,69.0,71.0,84.0,84.0,239,79.7,A,pass
135,14,male,high school,free/reduced,yes,yes,2,none,1.0,89.0,57.0,64.0,47.0,168,56.0,C,pass
106,18,F,associate's degree,standard,yes,yes,2,none,1.0,90.0,75.0,69.0,64.0,208,69.3,B,Pass
8,15,male,bachelor's degree,standard,no,no,2,completed,3.0,65.0,66.0,85.0,71.0,222,74.0,A,PASS
885,15,Female,bachelor's degree,standard,yes,no,4,completed,4.0,82.0,90.0,97.0,86.0,273,91.0,O,Pass
126,14,f,some college,free/reduced,no,yes,0,none,2.0,63.0,40.0,62.0,57.0,159,53.0,C,PASS
502,16,m,associate's degree,standard,yes,no,3,none,4.0,80.0,81.0,80.0,79.0,240,80.0,A,pass
907,14,F,bachelor's degree,standard,yes,yes,2,none,5.0,85.0,87.0,80.0,100.0,267,89.0,A+,PASS
267,14,f,bachelor's degree,free/reduced,yes,no,4,none,3.0,76.0,65.0,85.0,75.0,225,75.0,A,Pass
933,17,M,associate's degree,free/reduced,yes,yes,2,none,3.0,74.0,61.0,68.0,74.0,203,67.7,B,pass
390,18,Male,some college,free/reduced,yes,yes,4,none,2.0,93.0,62.0,64.0,65.0,191,63.7,B,Pass
715,18,f,bachelor's degree,free/reduced,yes,yes,4,completed,3.0,83.0,77.0,89.0,81.0,247,82.3,A+,PASS
986,16,f,some college,free/reduced,yes,yes,1,none,4.0,98.0,77.0,78.0,77.0,232,77.3,A,pass
814,18,FEMALE,bachelor's degree,free/reduced,no,no,1,completed,4.0,69.0,74.0,78.0,69.0,221,73.7,A,Pass
586,17,Male,associate's degree,standard,yes,no,2,none,1.0,73.0,43.0,59.0,57.0,159,53.0,C,Pass
568,17,f,high school,standard,no,no,4,none,5.0,85.0,84.0,85.0,79.0,248,82.7,A+,Pass
781,17,Male,associate's degree,standard,yes,yes,1,none,1.0,89.0,43.0,63.0,56.0,162,54.0,C,PASS
200,18,M,associate's degree,standard,yes,yes,0,none,2.0,94.0,80.0,82.0,71.0,233,77.7,A,Pass
964,18,m,bachelor's degree,standard,yes,no,0,none,1.0,95.0,58.0,64.0,71.0,193,64.3,B,PASS
561,15,FEMALE,master's degree,standard,no,yes,1,completed,2.0,87.0,78.0,87.0,80.0,245,81.7,A+,pass
254,18,male,some college,standard,no,no,0,completed,3.0,81.0,65.0,75.0,72.0,212,70.7,A,pass
288,14,Male,some college,standard,no,no,0,completed,3.0,77.0,73.0,77.0,80.0,230,76.7,A,PASS
982,14,Female,high school,free/reduced,yes,no,2,none,3.0,80.0,53.0,74.0,68.0,195,65.0,B,Pass
120,16,male,bachelor's degree,free/reduced,yes,yes,3,completed,1.0,64.0,58.0,58.0,70.0,186,62.0,B,PASS
